label	Title
1	Live  UK coronavirus: death toll sees sharp rise; Home Office extends NHS worker visas 
1	Live  UK coronavirus: death toll sees sharp rise; Home Office extends NHS worker visas 
1	"Live  Coronavirus: World Bank warns of 'unprecedented shock' as global confirmed cases pass 800,000 "
1	"Live  Coronavirus: World Bank warns of 'unprecedented shock' as global confirmed cases pass 800,000 "
1	Education  Councillor's 'oven-ready' scheme to force private schools to pay their bit 
1	Education  Councillor's 'oven-ready' scheme to force private schools to pay their bit 
1	Germany  Virologists to turn worst-hit district into coronavirus ‘laboratory’ 
1	Germany  Virologists to turn worst-hit district into coronavirus ‘laboratory’ 
1	‘We can’t go back to normal'  How will coronavirus change the world? 
1	At a glance  Coronavirus: key developments 
1	"'We're at risk, just like doctors'  The NHS staff fighting coronavirus behind the scenes "
1	Coronavirus  Key questions over UK government's handling of crisis 
1	Stress  Rise in depression and anxiety day after UK lockdown announced – study 
1	Dave  Rapper castigates Tories over NHS and coronavirus: 'They prioritised other things' 
1	Poundland  Chain to mothball one in 10 stores as shoppers heed coronavirus advice 
1	‘So much living to do’  Stories of UK's latest named coronavirus victims 
1	Las Vegas  Parking lot turned into 'homeless shelter' with social distancing markers 
1	"Live  US coronavirus: Pelosi emphasizes 'testing, testing, testing' to fight pandemic "
1	Europe  Homeless hit hard by coronavirus response 
1	Business  FTSE 100 suffers worst quarter since 1987 amid Covid-19 fears 
1	"  Coronavirus has tainted city life. Now I long for nature and community "
1	"  The coronavirus crisis has exposed the ugly truth about celebrity culture and capitalism "
1	"  As an isolated older person, I've been deeply moved by the sacrifices of others "
1	"  Coronavirus should not have caught leaders and markets off-guard "
1	The antidote  Your favourite reads beyond coronavirus 
1	Looking for a distraction?   Here are 25 of our favourite long reads 
1	Wildlife  Have you noticed changes due to the UK lockdown? 
1	Office outfits  What are you wearing while working from home? 
0	Cancer  Blood test can detect 50 types of illness 
0	Fiddler’s Ferry  SSE closes last coal-power station after 50 years 
0	Costa Rica  President pledges to protect indigenous rights after activists murdered 
0	China  Huge forest fire kills 18 firefighters and one guide 
0	"Barnsley  Man charged with murder over stabbing of woman, 31 "
0	Myanmar  Editor could face life in jail for interviewing rebel 
0	Business  Shell secures £10bn loan facility as it warns over £650m hit from oil price fall 
0	Sweden  Exiled Pakistani journalist goes missing in country 
0	British Airways  Airline suspends all Gatwick flights due to coronavirus 
0	World's oldest man  Hampshire 112-year-old officially recognised by Guinness World Records 
0	'The day was full of joy and love'  How people are getting married while in lockdown 
0	‘One press-up is better than none'  How Mr Motivator and other fitness gurus stay healthy at home 
0	"Waxahatchee  'Getting sober, you’re facing this stuff shoved deep down' "
0	Food  The best Instagram cookalongs to follow in your kitchen at home 
0	Rihanna makes history  'Did I ever imagine that I would see a durag on the cover of Vogue?' 
0	A whole new ball game  Enter the bizarre world of Athletico Mince 
1	"  Egypt's disdain for transparency will backfire in this coronavirus crisis "
1	"  Covid-19 is our best chance to change universities for good "
1	"  Being a coronavirus volunteer brings out my inner spy "
1	"  Bailouts are back, thanks to coronavirus. Now they must help people, not corporations "
0	"  How can you feel safe right now? Swap mindfulness for mindlessness "
1	"  The hostile environment is creating a coronavirus crisis for Britain's migrants "
0	Football  Levy calls on Premier League managers and players to take pay cuts 
0	Olympics  Japan businessman admits giving gifts for successful Tokyo bid 
0	"  Grealish needs to show he really has grown up this time "
0	The Spin  Top cricketing reads for a long and yawning summer 
0	David Squires on …  The English Premier League Game 
0	'This is sick'   Seventh-tier Swedish club cancels friendly after betting mayhem 
0	Unusual kits quiz  When did these eye-catching football strips go public? 
0	"  The pleasures of Small Sport can help us all right now "
1	Coronavirus cabaret  The online show combating social isolation 
1	"Anywhere but Westminster  Coronavirus diaries: alone, together "
1	"Coronavirus, racism and solidarity  Before and after Italy's lockdown "
1	Coronavirus  How do I know if I'm infected and what happens next? 
0	Video explainer  What's driving the secondhand fashion revolution? 
0	Coronavirus  How to cope with anxiety and self-isolation  
1	Policing  Met to face judicial review over role of school officers 
1	Prisons  Inmates with flu symptoms forced to share cells with those with Covid-19 
